,기사작성일,기사제목,기사주소
138,2020.08.03.,"전북경찰, 2달 간 서민경제 침해하는 보이스피싱 등 사기사범 566명 검거",http://www.jeollailbo.com/news/articleView.html?idxno=604795
139,2020.07.31.,"유럽연합, 첫 사이버 관련 제재에 북중러 개인 기관 포함",https://www.asiatoday.co.kr/view.php?key=20200731010019067
140,2020.07.31.,"유럽연합, 첫 사이버 관련 제재에 북중러 개인 기관 포함",https://www.asiatoday.co.kr/view.php?key=20200731010019067
141,2020.07.28.,"나주경찰서, 인터넷 물품사기 피의자 검거",http://www.sisamagazine.co.kr/news/articleView.html?idxno=326088
142,2020.07.27.,[사설]전주서 또 대부업 사기라니,http://sjbnews.com/news/news.php?number=689771
143,2020.08.03.,지난해 범죄발생 4년만 '증가세'…사기 12.8% 급증,http://www.fnnews.com/news/202008031554470024
144,2020.07.14.,"미국 비밀 경호국, 해커 잡는 부서와 금융 사기 방지 부서 합쳤다",http://www.boannews.com/media/view.asp?idx=89783&kind=
145,2020.07.10.,[단독] 맘카페 중심 '백화점 상품권 사기' 주의보,https://www.ibabynews.com/news/articleView.html?idxno=87114
146,2020.07.21.,금융사기 대응으로 업무 보폭 넓히는 국정원...왜?,http://www.digitaltoday.co.kr/news/articleView.html?idxno=241871
147,2020.08.02.,"경찰, 지난달 피싱·사기 등 서민경제 침해사범 290명 검거",https://www.ytn.co.kr/_ln/0103_202008021112120155
148,2020.12.14.,"몸캠피싱 보안 ’올세이프’, 피씽 24시간 상담 실시",http://news.heraldcorp.com/view.php?ud=20201214000149
149,2020.07.27.,"나주경찰서, 인터넷 물품사기 피의자 구속",http://www.metroseoul.co.kr/article/20200727500461
150,2020.12.07.,"와이즈유 박지현 교수, 인니 UII대학 국제학술대회 기조연설",http://news.mt.co.kr/mtview.php?no=2020120710497469241
151,2020.12.05.,"올세이프, 나홀로족 노린 몸캠피싱 증가 추세에… '24시간 피씽 상담 진행'",http://www.e2news.com/news/articleView.html?idxno=228426
